                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62655,                 1.2115,                0.98936,                0.90545,                      1,                  0.995,                0.93705,                0.42119,                  2.302,                 0.7665,             0.00038128,             0.00038128,             0.00038128
                     37,                0.55626,                 1.1536,                0.86629,                0.95782,                      1,                  0.995,                0.89589,                0.44847,                 2.1429,                0.78006,             0.00038624,             0.00038624,             0.00038624
                     38,                 0.7682,                 1.1369,                 1.0663,                0.95782,                      1,                  0.995,                0.89589,                0.44847,                 2.1429,                0.78006,             0.00039086,             0.00039086,             0.00039086
                     39,                0.63523,                 1.3055,                0.99987,                0.95005,                      1,                  0.995,                0.90335,                0.43746,                 2.1678,                 0.7755,             0.00039515,             0.00039515,             0.00039515
                     40,                0.69637,                 1.2759,                 1.0102,                0.95005,                      1,                  0.995,                0.90335,                0.43746,                 2.1678,                 0.7755,             0.00039911,             0.00039911,             0.00039911
                     41,                0.59887,                 1.0611,                0.94679,                0.93902,                      1,                  0.995,                0.90665,                0.41199,                 2.1901,                 0.7618,             0.00040275,             0.00040275,             0.00040275
                     42,                0.63306,                 1.2627,                0.97329,                0.93902,                      1,                  0.995,                0.90665,                0.41199,                 2.1901,                 0.7618,             0.00040605,             0.00040605,             0.00040605
                     43,                0.62118,                 1.2137,                0.96277,                0.96005,                      1,                  0.995,                0.90665,                0.47582,                 2.2097,                0.78292,             0.00040902,             0.00040902,             0.00040902
                     44,                0.68095,                 1.2511,                0.99255,                0.96005,                      1,                  0.995,                0.90665,                0.47582,                 2.2097,                0.78292,             0.00041166,             0.00041166,             0.00041166
                     45,                0.53004,                 1.5361,                 0.8872,                0.91357,                      1,                  0.995,                0.90665,                0.46362,                 2.1296,                0.78422,             0.00041398,             0.00041398,             0.00041398
                     46,                0.66956,                 1.4183,                 1.0079,                0.91357,                      1,                  0.995,                0.90665,                0.46362,                 2.1296,                0.78422,             0.00041596,             0.00041596,             0.00041596
                     47,                 0.5473,                 1.1406,                0.89812,                0.89311,                      1,                  0.995,                0.92254,                0.42768,                 2.0541,                0.77053,             0.00041761,             0.00041761,             0.00041761
                     48,                0.57501,                 1.2178,                0.90474,                0.89311,                      1,                  0.995,                0.92254,                0.42768,                 2.0541,                0.77053,             0.00041893,             0.00041893,             0.00041893
                     49,                0.54291,                 1.0872,                0.95957,                 0.8225,                      1,                  0.995,                0.94119,                 0.4091,                 2.0528,                0.76086,             0.00041992,             0.00041992,             0.00041992
                     50,                0.61268,                 1.3386,                0.90138,                 0.8225,                      1,                  0.995,                0.94119,                 0.4091,                 2.0528,                0.76086,             0.00042059,             0.00042059,             0.00042059
